ORDERNUMBER,ORDERDATE,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,ORDERLINENUMBER,QUANTITYORDERED,PRICEEACH,PRODUCTCODE,CUSTOMERNAME
10107, 2/24/2003 0:00 ,2871.0, Shipped   ,1,2,2003,2,30,95.7, S10_1678   , Land of Toys Inc.                   
10121, 5/7/2003 0:00  ,2765.9, Shipped   ,2,5,2003,5,34,81.35, S10_1678   , Reims Collectables                  
10134, 7/1/2003 0:00  ,3884.34, Shipped   ,3,7,2003,2,41,94.74, S10_1678   , Lyon Souveniers                     
10145, 8/25/2003 0:00 ,3746.7, Shipped   ,3,8,2003,6,45,83.26, S10_1678   , Toys4GrownUps.com                   
10159, 10/10/2003 0:00,5205.27, Shipped   ,4,10,2003,14,49,100.0, S10_1678   , Corporate Gift Ideas Co.            
10168, 10/28/2003 0:00,3479.76, Shipped   ,4,10,2003,1,36,96.66, S10_1678   , Technics Stores Inc.                
10180, 11/11/2003 0:00,2497.77, Shipped   ,4,11,2003,9,29,86.13, S10_1678   , Daedalus Designs Imports            
10188, 11/18/2003 0:00,5512.32, Shipped   ,4,11,2003,1,48,100.0, S10_1678   , Herkku Gifts                        
10201, 12/1/2003 0:00 ,2168.54, Shipped   ,4,12,2003,2,22,98.57, S10_1678   , Mini Wheels Co.                     
10103, 1/29/2003 0:00 ,5404.62, Shipped   ,1,1,2003,11,26,100.0, S10_1949   , Baane Mini Imports                  
10112, 3/24/2003 0:00 ,7209.11, Shipped   ,1,3,2003,1,29,100.0, S10_1949   ," ""Volvo Model Replicas Co""          "
10126, 5/28/2003 0:00 ,7329.06, Shipped   ,2,5,2003,11,38,100.0, S10_1949   ," ""Corrida Auto Replicas Ltd""        "
10140, 7/24/2003 0:00 ,7374.1, Shipped   ,3,7,2003,11,37,100.0, S10_1949   , Technics Stores Inc.                
10150, 9/19/2003 0:00 ,10993.5, Shipped   ,3,9,2003,8,45,100.0, S10_1949   ," ""Dragon Souveniers Ltd.""           "
10163, 10/20/2003 0:00,4860.24, Shipped   ,4,10,2003,1,21,100.0, S10_1949   , Classic Legends Inc.                
10174, 11/6/2003 0:00 ,8014.82, Shipped   ,4,11,2003,4,34,100.0, S10_1949   ," ""Australian Gift Network Co""       "
10183, 11/13/2003 0:00,5372.57, Shipped   ,4,11,2003,8,23,100.0, S10_1949   ," ""Classic Gift Ideas Inc""           "
10194, 11/25/2003 0:00,7290.36, Shipped   ,4,11,2003,11,42,100.0, S10_1949   ," ""Saveley & Henriot Co.""            "
10206, 12/5/2003 0:00 ,9064.89, Shipped   ,4,12,2003,6,47,100.0, S10_1949   , Canadian Gift Exchange Network      
10107, 2/24/2003 0:00 ,3896.49, Shipped   ,1,2,2003,5,39,99.91, S10_2016   , Land of Toys Inc.                   
10120, 4/29/2003 0:00 ,2793.86, Shipped   ,2,4,2003,3,29,96.34, S10_2016   ," ""Australian Collectors Co.""        "
10134, 7/1/2003 0:00  ,3307.77, Shipped   ,3,7,2003,5,27,100.0, S10_2016   , Lyon Souveniers                     
10145, 8/25/2003 0:00 ,5192.95, Shipped   ,3,8,2003,9,37,100.0, S10_2016   , Toys4GrownUps.com                   
10159, 10/10/2003 0:00,5016.83, Shipped   ,4,10,2003,17,37,100.0, S10_2016   , Corporate Gift Ideas Co.            
10168, 10/28/2003 0:00,3660.93, Shipped   ,4,10,2003,4,27,100.0, S10_2016   , Technics Stores Inc.                
10180, 11/11/2003 0:00,4695.6, Shipped   ,4,11,2003,12,42,100.0, S10_2016   , Daedalus Designs Imports            
10188, 11/18/2003 0:00,3660.92, Shipped   ,4,11,2003,4,38,96.34, S10_2016   , Herkku Gifts                        
10201, 12/1/2003 0:00 ,3025.92, Shipped   ,4,12,2003,5,24,100.0, S10_2016   , Mini Wheels Co.                     
10107, 2/24/2003 0:00 ,6065.55, Shipped   ,1,2,2003,4,27,100.0, S10_4698   , Land of Toys Inc.                   
10120, 4/29/2003 0:00 ,9264.86, Shipped   ,2,4,2003,2,46,100.0, S10_4698   ," ""Australian Collectors Co.""        "
10134, 7/1/2003 0:00  ,7023.98, Shipped   ,3,7,2003,4,31,100.0, S10_4698   , Lyon Souveniers                     
10145, 8/25/2003 0:00 ,5176.38, Shipped   ,3,8,2003,8,33,100.0, S10_4698   , Toys4GrownUps.com                   
10159, 10/10/2003 0:00,4132.7, Shipped   ,4,10,2003,16,22,100.0, S10_4698   , Corporate Gift Ideas Co.            
10168, 10/28/2003 0:00,4183.0, Shipped   ,4,10,2003,3,20,100.0, S10_4698   , Technics Stores Inc.                
10180, 11/11/2003 0:00,8892.9, Shipped   ,4,11,2003,11,41,100.0, S10_4698   , Daedalus Designs Imports            
10188, 11/18/2003 0:00,8714.7, Shipped   ,4,11,2003,3,45,100.0, S10_4698   , Herkku Gifts                        
10201, 12/1/2003 0:00 ,8065.89, Shipped   ,4,12,2003,4,49,100.0, S10_4698   , Mini Wheels Co.                     
10105, 2/11/2003 0:00 ,7208.0, Shipped   ,1,2,2003,2,50,100.0, S10_4757   , Danish Wholesale Imports            
10119, 4/28/2003 0:00 ,5004.8, Shipped   ,2,4,2003,11,46,100.0, S10_4757   , Salzburg Collectables               
10129, 6/12/2003 0:00 ,4398.24, Shipped   ,2,6,2003,2,33,100.0, S10_4757   ," ""Stylish Desk Decors Co.""          "
10143, 8/10/2003 0:00 ,5597.76, Shipped   ,3,8,2003,15,49,100.0, S10_4757   , Mini Creations Ltd.                 
10155, 10/6/2003 0:00 ,4526.08, Shipped   ,4,10,2003,13,32,100.0, S10_4757   ," ""Toys of Finland Co.""              "
10167, 10/23/2003 0:00,5924.16, Cancelled ,4,10,2003,9,44,100.0, S10_4757   , Scandinavian Gift Ideas             
10178, 11/8/2003 0:00 ,3492.48, Shipped   ,4,11,2003,12,24,100.0, S10_4757   , Alpha Cognac                        
10186, 11/14/2003 0:00,3854.24, Shipped   ,4,11,2003,9,26,100.0, S10_4757   ," ""Double Decker Gift Stores Ltd""    "
10197, 11/26/2003 0:00,5324.4, Shipped   ,4,11,2003,6,45,100.0, S10_4757   , Enaco Distributors                  
10103, 1/29/2003 0:00 ,5398.26, Shipped   ,1,1,2003,4,42,100.0, S10_4962   , Baane Mini Imports                  
10114, 4/1/2003 0:00  ,4305.28, Shipped   ,2,4,2003,8,31,100.0, S10_4962   ," ""La Corne D'abondance Co.""         "
10126, 5/28/2003 0:00 ,3347.74, Shipped   ,2,5,2003,4,22,100.0, S10_4962   ," ""Corrida Auto Replicas Ltd""        "
10140, 7/24/2003 0:00 ,3188.12, Shipped   ,3,7,2003,4,26,100.0, S10_4962   , Technics Stores Inc.                
